reviewer_name,content,full_url,rating,time,owner_replied,owner_reply
Angelica Hörmann,The best sport/family/social club in Berlin. I 🫶🏼 Aspria forever.,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNCb0lpN293RRAB!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgICBoIi7owE%7CCgwI3b3mnAYQ6NSnmQM%7C?hl=en-US,5,3 weeks ago,True,"(Translated by Google) Dear Ms. Hörmann, thank you very much for these magnificent 5 stars. And we are very pleased that you are enjoying your time with us.

Dear Mrs Hörmann,
We are grateful to have you spending your time in our club and enjoying it so much.
Thank you,

Sandra Schmalzried
General manager
Aspria Berlin

(Original)
Liebe Frau Hörmann, ich danke Ihnen sehr für diese grandiosen 5 Sterne. Und freuen uns sehr, dass Sie Ihre Zeit bei uns genießen.

Dear Mrs Hörmann,
We are grateful to have you spending your time in our club and enjoying it so much.
Thank you,

Sandra Schmalzried
General Manager
Aspria Berlin"
Irene Van Den Brom,"For business I was staying at Aspria Ku’damm Berlin for 12 nights and I really started to wonder whether the Aspria is really a hotel. I’ve come to the conclusion it’s just a side-business for the Wellness Aspria. (Need Sherlock Holmes to book a room on their website).

During a stay of 12 nights:
* the bed was made every day but the sheets were never replaced.
* they never vacuumed the room
* when I mentioned this at checking out, the only reaction was ""oh, we'll let
housecleaning know"" No form of appology. Staff didn't seem to care.

After 8pm it's impossible to sit at the bar and order coffee or any other drink

Getting the right bill was also quite a puzzle with items of another guest.

My experience:
The location: Although the street of the hotel is not really appealing, it’s reasonably quiet and only a few hundred meters from the Kurfürstendamm, where there are plenty of restaurants, supermarket and other stores (the Greek restaurant Ach! Niko ? Ach is very recommendable). Also the S-Bahn Charlottenburg is only about 7 minutes walk away. The hotel has a parking garage, so for a visit to Berlin a fine location.

My arrival at the hotel was a real Benny Hill experience. The only thing missing was the Benny Hill tune… I was given room 111 and when I came first to this room the keycard didn’t work. So, a little frustrated I went back to reception. The receptionist reactivated the card and kindly joined me upstairs to the room and the key did work. Then the WIFI code didn't seem to work. Back at reception I was given a code that worked.

The first morning I went to breakfast, which was fairly simple. For 14 euro’s you can choose from 2 kinds of tasty fresh bread and croissants, 2 kinds of blandly tasting cheese, Nutella, jelly, (boiled and baked) eggs and some yoghurt. Plenty of choices for coffee, tea and hot chocolate, but I cannot say the cappucino or Latte Macchiato had a great taste.
When I mentioned my room number at the breakfast staff, it wasn’t on the list. Well, according to the list I was in another room: 112. They’d check with reception. When I came back later I had to ask, but was told that everything was in order.  The list was correct…
Well, lets check with reception… First I complained about the noisy bed in my room 111. Then checked why breakfast staff thinks I am in 112. “But you are in 112” was the answer. We have guests arriving in 111 today. NO, I slept in 111, my stuff is in 111, so how can I be in 112 then? So I proposed they’d give me the key for 112 so I could move my stuff from 111 to 112 (this also solved my noisy bed issue). They gave me the keycard for 112, but at room 112 the keycard didn’t work… Grrrr.
Back to friendly receptionist to get it solved.
In room 112 the bed was fine. Basically the room looked fine, although the long pile carpet was not exactly cleaned well. I guess they’d never vacuum here. Also cleaning the bed. I was here for 12 nights and the only thing they did was shaking up the pillow and folding the blanket, but never cleaned the bed, nor vacuum the room. I know this because of the visible loose fibers on the carpet that a vacuum cleaner definitely would have cleared. A little stain in the bed that was there the first day has been there during my entire stay. Cleaning your room is not a priority in this hotel. You get clean towels and fold the toilet paper, but I guess that's it.
Also the bed is a bit strange. The bed header is not straight so there is a big gap between the comfortable matrass and the header. The small pillow fills the gap entirely. If you, like me always push your pillow to the header when you sleep, it’s a bit uncomfortable.
Next, the shower… The door to the toilet/shower closes the shower nicely, keeping the toilet and the show separated. Clever… So I thought… But the gap, which is the result at the hinge side is huge, so the water splashes and gushes through that side. One big plus is the shower head itself. One word: F A N T A S T I C! I've never had such nice powerful and comfortable shower before in a hotel. That’s a keeper for sure.",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURXZ0xia1JREAE!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgIDWgLbkRQ%7CCgwI4fStkQYQkM2V_gI%7C?hl=en-US,2,9 months ago,False,
Japhy Bone,"Had a great stay overnight, the saunas are awesome",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNldlo2aEdnEAE!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgICevZ6hGg%7CCgwI-5StmQYQgPr3pgI%7C?hl=en-US,5,3 months ago,True,"That sounds like a perfect stay. Thank you for taking the time letting us know.

Love to welcome you again,
sincerely
Sandra Schmalzried
General Manager
Aspria Berlin"
Sara Kalinoski,"No water fountains, no transparency on rates, and unfriendly gym staff (I was scolded for using more than one big towel for swimming + sauna). Ultimately it’s not well-suited for international guests.",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ2Z09QQl9BRRAB!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgID6gOPB_AE%7CCgsI_beSigYQ0P6vYQ%7C?hl=en-US,2,a year ago,False,
Magdalena Reszke,"Judging hotel and restaurant only, haven't used spa or fitness center.
Rooms are pretty spacious and quiet. Useful thing - they put a sink outside the bath (shower/bath & toilet).
Very nice choice of healthy dishes. Unfortunately not much beer too choose from.
Service very friendly and helpful.",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURRcDZtMXFRRRAB!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgIDQp6m1qQE%7CCgsI9v-A2QUQgLDjLQ%7C?hl=en-US,5,4 years ago,False,
Susan Roth,"Make sure you use the many different excellent saunas. There is a big pool and fitness facility. Breakfast is good and its quiet at night. Great place for business people, who want to use their spare time to exercise or sauna. Rooms and beds are very good, 2 niggles though: a very high bath tub, which is not easy to get in if you just want to use it for shower; when you go to loo at night you probably will wake your partner, as the light goes also on in changing cum sink room, which is only partitioned by a wall that doesn't do up to sealing",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNBcHNfUFV3EAE!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgICAps_PUw%7CCgwI4M_31wUQwNHqnQE%7C?hl=en-US,4,4 years ago,True,Thank you Susan for your kind feedback! We are looking forward to welcoming you back at Aspria soon.
Rebecca Hoffmann,"Amazing sports facilities and central location. Rooms are modern and clean.
This hotel is perfect if you want to visit Berlin but also spend some hours doing sports & wellness.",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURDOUx2QVdREAE!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgIDC9LvAWQ%7CCgwIitOJ-wUQgJ7t_AE%7C?hl=en-US,5,2 years ago,False,
Evany Chang,"Just a short walk off the main road, this hotel is a conveniently located choice for travelers who want to maintain fitness while traveling. A lot of hotels in this area do not have a gym so Aspria is definitely my top pick. Their fitness and wellness facilities are one of the best in the area; several floors dedicated to weight training, cardio, yoga, swimming. The breakfast buffet is healthy and delicious too.",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNndTdPTXpBRRAB!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgICgu7OMzAE%7CCgwI3PDj0gUQgNrNgwE%7C?hl=en-US,5,4 years ago,True,Thank you so much Evany for your Kind review! We are very glad to hear that Aspria is your top choice when travelling. We are looking forward to having you back with us soon!
alvand gharib,"Amazing hotel for athletes and fitness professionals. The hotel is actually built on top of a huge sport complex with lots of courses, spa and wellness center and fitness studios of different sizes. The architecture is fascinating but the room that I was in was a bit small for two people. I would say it is worth the price",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURROXQyX1V3EAE!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgIDQ9t2_Uw%7CCgwIocS-5wUQ6PuuvwI%7C?hl=en-US,4,3 years ago,True,Thank you for your review. We are looking forward to you next stay already! Your Aspria Team
Matthias Schmidt,"Very nice hotel geared towards sport and wellness and the only one with a 25m pool downtown to swim in. Rooms are spacy, staff is very nice. One minus point for the restaurant. Food is deli but it attracts mostly gym people and is more bistro type. Didn't hv the menu breakfast but many smoothies.",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN3dDRpaXVBRRAB!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgICwt4iiuAE%7CCgwI1reM0QUQwNijoAM%7C?hl=en-US,5,5 years ago,True,"Dear Mr. Schmidt,
Thank you for reviewing our Accommodation at our Club Aspria Berlin Ku'damm. We are delighted to hear about your stay and we will certainly pass your kind comments to our colleagues. Of course, we will inform the restaurant management about your thoughts so they can take customers’ feedback for future planning. We will be delighted to see you again and if there is anything we can do for you or have any further suggestions, do not hesitate to contact us directly.
Your Aspria Team"
Mick W,"Not a hotel in the true sense of word, it's a members sports club with a few bedrooms. Large comfy bedrooms but poor facilities and overpriced for supposedly 4* as lacking in all basic guest services. Be warned if you use the Club wet areas on roof terrace, the entire floor is a unisex naturist area",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURBc2N5V2pnRRAB!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgIDAscyWjgE%7CCgsI-Pui2QUQwMvoSw%7C?hl=en-US,2,4 years ago,False,
Isabel Ursache,Zero customer service. Rude and awful staff.,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNCbHZpaHR3RRAB!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgICBlvihtwE%7CCgwIlc6bnQYQ2JPO1gE%7C?hl=en-US,1,2 weeks ago,False,
Malin Huber,"Wonderful hotel especially if you like sports! For a finess freak it is like a playground where all levels, ages and sizez are welcome.
Only downside is the breakfast. For a ""healthy"" hotel like this it is a real disappointment. Sour Milk, fruit is not fresh etc etc.",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMwbjh1S0lREAE!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgIC0n8uKIQ%7CCgwIzM-a7QUQgIS0gQM%7C?hl=en-US,4,3 years ago,True,"Dear Malin,

Thank you for taking the time and for reviewing our Club.

We are delighted to see that you have enjoyed our hotel, spa and sport facilities.
Further we are thankful for your rewiew regarding the breakfast. We shared your comments with our team and will try to improve this as good as we can.

We always strive to improve what we do for you and we would be delighted to know more about your experience.

Do not hesitate to contact us on +49 30 890688868/ resbe@aspria.de. We look forward to welcoming you very soon.

Best regards

Your ASPRIA team"
JM Edison,"At the beginning I was happy with the warm welcoming and the services offered by the club, I was told that I will receive communications in English but once I was in the club, all the communications received were in German except 1 email, after a few months, I didn't receive any feedback from the club after emails and emails asking and asking, it seems that they just ignored any communication. I will recommend the club if you are German sepaker. Unfortunately, after 0 feedback I will request to leave the club.",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUM4a1pLVW93RRAB!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgIC8kZKUowE%7CCgwI04Gd-AUQ6P7SiQI%7C?hl=en-US,2,2 years ago,False,
Oliver Kiderle,"The facilities are fantastic: very modern, everything you need is here and it's not too crowded. The hotel seems to be a bit less advertised but I really enjoyed the rooms (they're huge, very clean and modern, good wifi, only the TV reminds you of the 90s). The location isn't super central, but you can still find a few restaurants and bars nearby.",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURBcjUtald3EAE!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgIDAr5-jWw%7CCgsIntzRvAUQwOGCMw%7C?hl=en-US,5,6 years ago,False,
Henry Helms,"Not a typical Hotel. Focused on their gym members and some staff isnt use to ""Hotel Demands or Standards"".
AC did not work properly in the heat and no alternative solution was found....
Overall impression was ok, far from Mindblowing",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNDbUlMb0x3EAE!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgICCmILoLw%7CCgwIltzD-QUQwLO2hQI%7C?hl=en-US,3,2 years ago,False,
Pavlína Pavlinka,"good location, great spa and fitness, and super symphatic specialist who understand them work. Personal nice, just when u wanna finish your contract they are not nice anymore ;-) and the woman by the towels is not nice at all, when u pay 220 euro for first month at gym u go first day, anybody tell u u can get only 2 towels for free so u take 3 cause u wanna go to sauna as well and the lady there start jelling at u that u have to pay 0,50 euro more",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN3azZqWDBBRRAB!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgICwk6jX0AE%7CCgwI7q7VuwUQgJj_zQE%7C?hl=en-US,4,6 years ago,False,
Marco Mertins,I had a day ticket. I am not a member. The massage was shorter than booked but i got a coupon as gift. When you dont know the place you are a little bit lost. You must find personel to ask for help. There is a lot of fitness posibillities available. They have one pool and also sauna. When you ask for a membership plan you get no clear info. You will get an individual contract. Nice place,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURRdGQtTkVREAE!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgIDQtd-NEQ%7CCgsI39Do0wUQwNKPWg%7C?hl=en-US,4,4 years ago,True,"Thank you Marco for your kind words! If you are interested in becoming a member I would love to get you in touch with one of my colleagues from our Membership Team. Kind regards, Maria"
J.J D,"I do not recommend this so-called high-end Gym/Spa to anyone else other than the Nouveau Riche bling gang of a  certain ethnic group in this city and country, whose rude and coarse behaviours are well-documented and known amongst the locals and expats alike. <br/>Stay away if you consider yourself a cultured, respectable and refined person who expects a chill, relaxed atmosphere commensurate with the top-euro you pay for the membership in this place. Underneath the staged veil of exclusivity is a club open to all who's willing to shell out 140 a month, no question asked, no background checked. <br/>I've had some horrible experiences in the past month or so. Noone re-racks, first of all. The gym etiquette here is non-existent, but that's actually what bothers me the least. <br/>A few young male members of the aforementioned certain ethnic group are certainly not used to seeing foreigners of a complexion other than white or brown, and they like to stare  in a very coarse and unfriendly, if not downright aggressive way.  You'd think this is a refugee camp when you see eyes like this, not a fancy clubhouse of 'guests of esteem'.<br/>The first week I was in Aspria I saw 1 of them spitting on the floor of the weight room while lifting a pair of dumbbells, with no shame or whatsoever, and I immediately reported it to the management. Just yesterday, in the same workout area, I was heading into the bathroom where I bumped into the same young man, about to finish his business in front of the urinal, made a loud hulking sound followed by a dramatic spitting endeavour that resulted in having his nasty slime splashed across a large area of the wall behind the urinal. I took a picture of it as proof.<br/>All said, if you have a thick skin and are willing to ignore or suffer through all the rudeness and unfriendliness (from certain guests not from the staff) associated with this place, they do have quite decent gym equipment and spa area.",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNVNTU3T2tnRRAB!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgICU557OkgE%7CCgwIpIzL6gUQ-KLCwAE%7C?hl=en-US,2,3 years ago,False,
Philippe Meyer,"Very nice rooms. Warm welcome for the staff. Amazing sports facilities. Breakfast is ok, good quality but not a huge choice. Recommended",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQweGJlTFRBEAE!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgID0xbeLTA%7CCgwI1cSs7gUQ-NW9vAE%7C?hl=en-US,4,3 years ago,True,"Dear Philippe,

Thank you for reviewing our Club.

We are delighted to see that you have enjoyed our facilities and services that much.

We always strive to improve what we do for you and we would be delighted to know more about your experience.

Do not hesitate to contact us on +49 30 8906888 68. We look forward to welcoming you very soon.

Best regards

Your Aspria Team"
Jan Bertrand,"Away from the noise and buzz you find a well suited sport/wellness resort.  Swim on 25m, run, gym or join the courses. The rooms are ok and well equiped. It takes you 5min. to the kudammm restaurant,bars..
The spa gets a bit crowded on weekends",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURRMTQ2SXl3RRAB!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgIDQ146IywE%7CCgsIr6aT1QUQwKiufg%7C?hl=en-US,4,4 years ago,True,Thanks for the honest and positive feedback Jan! Looking Forward to haveing you back with us soon.
Adriana Kelentric,"Hotel is ok, its can be better because it has four stars. Clean servis is not good, they just make up a beds and that's it.",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUM2Mk5henp3RRAB!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgIC62NazzwE%7CCgsI4uyxiQYQ-O-5dQ%7C?hl=en-US,4,a year ago,False,
Daniel Gorr,"Update: 34 degrees Celsius and NO air-conditioning. This is for 120€ p.M. u acceptable.

I had to remove three stars: for a sports club that charges over 120€ per month no air-conditioning is not acceptable. Second summer here with the same excuses.
Angenehmes Publikum, super Ausstattung und top Personal.",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURBc29talFnEAE!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgIDAsomjQg%7CCgsI9caH2wUQwJHmYA%7C?hl=en-US,1,4 years ago,False,
Victor Dembovsky,Ery good facilities- hotel and fitness with swimming pool and spa,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQyb1lUaFhnEAE!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgID2oYThXg%7CCgwIrOqKlAYQ2M7KrwM%7C?hl=en-US,5,7 months ago,False,
